Capability,Front-Desk,Telecaller/Counsellor,Branch Manager,Sales Head,CRM Admin,Notes
View leads (list & detail),Y (read),Y,Y,Y,Y,
Lead visibility scope (ALL vs OWN),ALL,?,ALL,ALL,ALL,see Decision 2
Create lead (manual entry),Y,Y,Y,N,Y,
Walk-in entry (+consent),Y,Y,Y,N,Y,
Edit stage,LTD,Y,Y,Y,Y,FD = appointment only?
Edit tag / interest,N,Y,Y,Y,Y,
Click-to-call (record),N,Y,Y,Y,Y,
Send WhatsApp (freeform + template),N,Y,Y,Y,Y,
Merge duplicate leads,N,Y,Y,Y,Y,
Mark Lost (preset tag / review),N,Y,Y,Y,Y,
Delete lead -> trash (soft),N,?,Y,N,Y,see Decision 4
Restore from trash,N,N,Y,N,Y,
Permanent delete,N,N,N,N,Y,
View calls / recordings / transcripts,N,Y (own),Y,Y,Y,
View CQS scores,N,Y (own),Y,Y,Y,
Dashboard / analytics,N,N,Y,Y,Y,
CQS dashboard,N,N,Y,Y,Y,
Manage WhatsApp templates,N,N,Y,N,Y,
Manage sales-rep roster,N,N,Y,Y,Y,
Manage settings / integrations,N,N,N,N,Y,
Manage users & roles,N,N,N,N,Y,
,,,,,,
DECISIONS,,,,,,
1. Login = SalesRep identity? (Y/N),,,,,,
2. Telecaller visibility: ALL or OWN?,,,,,,
3. Branches: one now / add branch scoping?,,,,,,
4. Telecallers can soft-delete? (Y/N),,,,,,
5. Front-Desk can book/reschedule appts? (Y/N),,,,,,
6. Managers/Sales Head hands-on or oversight-only?,,,,,,
